COMMENTS,RATINGS
Kis kis ke man mei aya:- Ye to tatti hai,1
Kya chhutiyA product hai ,1
Bc saare paise barbad,1
Aji lunnd mera,1
Product  ke naam par dhabbba hai ye ,1
Lawda ki site hai,1
Chutiye product hai ye,1
Ek ka double,1
Ab tu bataega baap ko,1
Banchod land mera nasbandi karva le,1
Is product ko apni gand me daal le,1
Tera BAAP yaha chod ke gai thi ya  teri maa,1
Hahahahahhha,0
Kaun kharedega is bawasir ko,1
PHATA HUA BOX AAYA,1
WAAHIYAAD SITE HAI YE,0
saale madarchod,1
yaar ye  product mast hai,0
kutch product mhenge hote hai par ache hai,0
love it yaar,0
WOW site achi  hai,0
jab bhi lia hai ache nikle hai,0
nice product,0
MAZAAA!!!!  Aa gayaa,0
SASTA  AND ACHA!!!!!!!!!!!,0
tatti,1
BAHUT SAARE BUGS  HAI!!!,0
KYA SITE BANAI HAI@&*^MC @**,1
PIRATED HAI ,0
PAISE BARBAAD,1
Chutiye teri gand chaeye usko,1
LoDu Sala Fatele Cndm Ka Natija,1
Tatti nhi nikal rhi aisa expression derhi hey...biriyani woh bhi half,1
Tatti hai ye,1
Bhakchodi ki dukan,1
Tere fans bhi h be l***de,1
Jis jis ko yay chutiya lagta hai like Karo,1
Gaandu lag ,1
saala hatt!!!,1
teri maa ki choot,1
KHOla toh khaali  dabba nikla,1
CONDOM EXPIRE NIKLA!!!,1
Lvdya..,1
Takle chakke,1
&*^$$** LELE,1
TERI MAA KI aakh,1
raaste kaaa mal,1
ban ki choot saala,1
Lund si skl k hahahaha,1
Abe sale,1
Abe suar ko koi chain pehna gya,1
ghar ka bedi lanka dhaae,0
choos loo ,1
Aisa lag raha hai jaise land,1
ache products hai,0
MERI LIFE BAN GAI,0
KYA HI BATAU,0
Itna mehnga bhi nhi hai,0
reasonable rates,0
UI acha hai !!!,0
Mehnat se banaya hai,0
Love it,0
Sala land,1
good job ,0
products ache hai,0
op bhai,0
battery backup acha hai,0
Abe gadhe ki gaand jesa muh,1
kaam chalau,0
chakko ka saman nhi milta,0
hawas ke pujari,1
Honest Review,0
Best products i will use,0
Wow gooooddd,0
aap acha kaam kar rahe hai,0
Sir Kya Result Aaye One month Mein,0
Discounts do,0
Discounts nahi hai,0
Discounts nhi hai,0
cheap rates,0
Mangwana kesey isko ??,0
Badia maal hai,0
Wholesale me do!!,0
price of product,0
Bhai after 1 month kya hua,0
oooee hoee mast!!,0
Nikal lavde pahili fursat Mai nikal,1
todd product,0
AUR DIIKHAO AUR DIKHAO,0
Half biryaane bosdike,1
pyaara ,0
pyaar ,0
HAWASI mat bano,0
SAHI HAI,0
RATES KAM LAGAO,1
chal baklendi,1
Iss bsdiwale ko kon laya be YouTube pe,1
apna kaala-kaala gand dikha diya,1
Lulli less man...lol,1
lund ...Le ke aya,1
So funny,0
DUNIYA KA SBSE Bada CHAKKA!!!,1
ghatiya product and site too,1
ache products hai,0
MERI LIFE BAN GAI,0
KYA HI BATAU,0
Itna mehnga bhi nhi hai,0
reasonable rates,0
UI acha hai !!!,0
Mehnat se banaya hai,0
Love it,0
Behen ke loda,1
ACHI Deals,0
products ache hai,0
zayda lamba chalta hai,0
battery backup acha hai,0
bawasir ke  banaya  hai ,1
kaam chalau,1
chakko ka saman nhi milta,1
Behn ke lode,1
quality badia hai,0
pehla indian brand,0
khushi hai muje ,0
aap acha kaam kar rahe hai,0
price bhut kam hai,0
Discounts do,0
Discounts nahi hai,0
Discounts nhi hai,0
cheap rates,0
mast,0
Badia maal hai,0
Wholesale me do!!,0
dekh kar acha laga,0
Kya chhutiyA product hai ,1
Bc saare paise barbad,1
CHAL BOSDE KE,1
Product  ke naam par dhabbba hai ye ,1
Lawda ki site hai,1
Sala landicapp ke chode,1
Ek ka double,0
Sale hijade  ke,1
Bhadwa  ke sale,1
Kya chutiyapa hay yeh,1
Tera BAAP yaha chod ke gai thi ya  teri maa,0
Hahahahahhha,0
Abeee bc kya bol gya ke,1
PHATA HUA BOX AAYA,0
WAAHIYAAD SITE HAI YE,0
Aabe chakeeeee ke,1
chut ke baal barabar hai tu.,1
chut ke aya hai cya?,1
chut maarli chup hoja.,1
chutia hai tu,1
chutiya,1
gaand se paida hoa hai kya,1
gaand fat gyi?,1
gaand masti band cr laude.,1
gaand fad aadmi hai tu,1
gandu hai tu bhai.,1
kutto wali bate mat cr,1
kutta kamina hai tu,1
kutte ki aulad hai cya bsdk?,1
kutte ki jhat chata hai kya?,1
kuttiya se shadi kr le.,1
loda lega mera?,1
lodu hai tu bhai.,1
lund lega mera?,1
lund choosle mera bhai tu.,1
lund khajoor chaheye bs tujhe?,1
lund topi jaisa dkehta hai tu .,1
lundure apna cam cr. ,1
maa ki chut hai bhai teri.,1
maal lag rhi hai yaar,1
madar chodhai vo toh.,1
mooh mein le mera,1
randi ci aulad hai tu bhai?,1
beti chod hai vo toh.,1
